iter	RMSE
886	54.50037048
887	54.49461771
888	54.48874558
889	54.48147898
890	54.47757656
891	54.47256226
892	54.46699904
893	54.46059153
894	54.45253394
895	54.4478337
896	54.44316959
897	54.43416706
898	54.42928578
899	54.4253998
900	54.41618313
901	54.41476999
902	54.40440749
903	54.39964607
904	54.39650958
905	54.39155455
906	54.38497261
907	54.37629331
908	54.36899582
909	54.36223522
910	54.35463954
911	54.35048094
912	54.34653102
913	54.34025405
914	54.33541035
915	54.33218751
916	54.32410492
917	54.31780288
918	54.31257646
919	54.30843711
920	54.29826317
921	54.29261847
922	54.28666663
923	54.28151408
924	54.27340862
925	54.2676811
926	54.26383471
927	54.25477138
928	54.24867552
929	54.24291771
930	54.23620489
931	54.23356338
932	54.22903357
933	54.22327362
934	54.21631995
935	54.21055088
936	54.20431479
937	54.19938587
938	54.1907981
939	54.18715545
940	54.18436151
941	54.18043728
942	54.17693933
943	54.17354221
944	54.16763817
945	54.16294415
946	54.1544602
947	54.15112971
948	54.14679624
949	54.13881091
950	54.13627314
951	54.12999473
952	54.12498911
953	54.11793341
954	54.11275577
955	54.10532285
956	54.09489724
957	54.08999529
958	54.08447145
959	54.07585887
960	54.07128682
961	54.06506186
962	54.06163461
963	54.05677663
964	54.05367013
965	54.04741252
966	54.03922311
967	54.03711176
968	54.03120695
969	54.02857922
970	54.02286133
971	54.0195334
972	54.01613317
973	54.01167824
974	54.00590444
975	54.00336579
976	53.99964266
977	53.99586241
978	53.99406897
979	53.9890873
980	53.98601064
981	53.98139359
982	53.97437886
983	53.96732382
984	53.95727238
985	53.95289496
986	53.94939187
987	53.94793523
988	53.94094637
989	53.93328828
990	53.92494265
991	53.92078291
992	53.9181598
993	53.91117527
994	53.90390705
995	53.89776382
996	53.89214628
997	53.88772289
998	53.87803849
999	53.87336545
